"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Abortions Statistics, Termination Statistics - May 2024","2024-05-00","","Annual - derived from statutory notification.","Kirsten Monteath
tel. 0131 275 6839
e-mail: kirsten.monteath@nhs.net
Samantha Clarke
tel. 0131 275 6149
e-mail: samanthaclarke@nhs.net","Annual","Not applicable",3000,8001,False,"2024-05-01",1714521600000
"Acute Hospital Activity and NHS Beds Information, May 2024 Release","2024-05-00","","Provides a range of statistics relating to acute hospital activity and bed availability.","Kirsty Anderson
tel. 0141 282 2243
e-mail: kirsty.anderson8@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-05-01",1714521600000
"Hospital Standardised Mortality Ratios, May 2024 Release","2024-05-00","","These statistics are updated on a quarterly basis and reflect the HSMR for the latest 12 month reporting period when drawing comparisons against the Scottish average, whilst crude mortality data is presented by quarter to show trends.","Mridula Nair
tel. 0141 300 1124
e-mail: mridula.nair@phs.scot
Isabella Tortora Brayda di Belvedere
tel. 0141 300 1124
e-mail: isabella.tortorabrayda@phs.scot
Peter Menzies
tel. 0141 300 1124
e-mail: peter.menzies@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-05-01",1714521600000
"NHS Waiting Times - Diagnostics, May 2024 Release","2024-05-00","","Update of Waiting Times Statistics Quarterly waiting times statistics for Diagnostics - Information on number of patients waiting for a key diagnostic test.","Roisin Farrell
tel. 0131 314 1029
e-mail: roisin.farrell@phs.scot
Maiana Sanjuan
tel. 0141 282 2173
e-mail: maiana.sanjuan@phs.scot
Helen Wilson
tel. 0131 275 6363
e-mail: helen.wilson8@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-05-01",1714521600000
"NHS Waiting Times - Stage of Treatment, May 2024 Release","2024-05-00","","Update of Waiting Times Statistics, Quarterly waiting times statistics for the stage of treatment - Summary of waiting times and waiting lists in the acute sector of NHS Scotland.","Stuart Kerr
tel. 0131 275 6363
e-mail: stuart.kerr2@phs.scot
Primal Chohan
tel. 0131 275 6861
e-mail: primal.chohan@phs.scot
Maggie Champsa
tel. 0131 275 6363
e-mail: maggie.champsa2@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-05-01",1714521600000
"Delayed Discharges in NHS Scotland, June 2024 edition","2024-06-00","","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Not applicable",3000,8001,False,"2024-06-01",1717200000000
"Delayed Discharges in NHS Scotland, June 2024 edition (Annual)","2024-06-00","","Annual summary of delayed discharge information to 2023/24 by NHS Board of treatment and local authority of residence.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Not applicable",3000,8001,False,"2024-06-01",1717200000000
"Childhood Immunisation Statistics Scotland, June 2024 Release","2024-06-00","","Childhood immunisation uptake rates by 12 and 24 months of age, and 5 and 6 years of age, for the quarter and financial year ending March 2024.","Neil Perkins
tel. 0131 275 6684
e-mail: neil.perkins@phs.scot
Salomi Barkat
tel. 0131 275 7871
e-mail: salomi.barkat@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-06-01",1717200000000
"Delayed Discharges in NHS Scotland, July 2024 edition","2024-07-00","","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Not applicable",3000,8001,False,"2024-07-01",1719792000000
"Teenage Pregnancies, Teenage Pregnancies - July 2024","2024-07-00","","Annual summary of teenage pregnancy rates by health board area and local council area (based on age at / year of conception) for, year ending 31st December 2022","Stuart Wrigglesworth
tel. 0131 275 7128
e-mail: stuart.wrigglesworth@phs.scot","Annual","Not applicable",3000,8001,False,"2024-07-01",1719792000000
"Delayed Discharges in NHS Scotland, August 2024 edition","2024-08-00","","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Not applicable",3000,8001,False,"2024-08-01",1722470400000
"Hospital Standardised Mortality Ratios, August 2024 Release","2024-08-00","","These statistics are updated on a quarterly basis and reflect the HSMR for the latest 12 month reporting period when drawing comparisons against the Scottish average, whilst crude mortality data is presented by quarter to show trends.","Mridula Nair
tel. 0141 300 1124
e-mail: mridula.nair@phs.scot
Isabella Tortora Brayda di Belvedere
tel. 0141 300 1124
e-mail: isabella.tortorabrayda@phs.scot
Peter Menzies
tel. 0141 300 1124
e-mail: peter.menzies@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-08-01",1722470400000
"NHS Waiting Times - Diagnostics, August 2024 Release","2024-08-00","","Update of Waiting Times Statistics Quarterly waiting times statistics for Diagnostics - Information on number of patients waiting for a key diagnostic test.","Roisin Farrell
tel. 0131 314 1029
e-mail: roisin.farrell@phs.scot
Maiana Sanjuan
tel. 0141 282 2173
e-mail: maiana.sanjuan@phs.scot
Helen Wilson
tel. 0131 275 6363
e-mail: helen.wilson8@phs.scot","Quarterly","Provisional",3000,8001,False,"2024-08-01",1722470400000
"NHS Waiting Times - Stage of Treatment, August 2024 Release","2024-08-00","","Update of Waiting Times Statistics, Quarterly waiting times statistics for the stage of treatment - Summary of waiting times and waiting lists in the acute sector of NHS Scotland.","Stuart Kerr
tel. 0131 275 6363
e-mail: stuart.kerr2@phs.scot
Primal Chohan
tel. 0131 275 6861
e-mail: primal.chohan@phs.scot
Maggie Champsa
tel. 0131 275 6363
e-mail: maggie.champsa2@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-08-01",1722470400000
"Delayed Discharges in NHS Scotland, September 2024 edition","2024-09-00","","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Not applicable",3000,8001,False,"2024-09-01",1725148800000
"Childhood Immunisation Statistics Scotland, September 2024 Release","2024-09-00","","Childhood immunisation uptake rates by 12 and 24 months of age, and 5 and 6 years of age, for the quarter ending June 2024.","Neil Perkins
tel. 0131 275 6684
e-mail: neil.perkins@phs.scot
Salomi Barkat
tel. 0131 275 7871
e-mail: salomi.barkat@phs.scot","Quarterly","Not applicable",3000,8001,False,"2024-09-01",1725148800000
"Long Acting Reversible Contraception (LARC) Key Clinical Indicator (KCI), LARC -2024","2024-09-00","","Report on indicators looking at long acting reversible contraception (LARC)","Duncan McMaster
tel. 0141 282 2081
e-mail: duncan.mcmaster@phs.scot","Annual","Not applicable",3000,8001,False,"2024-09-01",1725148800000
"Acute Hospital Activity and NHS Beds Information, Annual September 2024 Release","2024-09-00","","Provides a range of statistics relating to acute hospital activity and bed availability.","Kirsty Anderson
tel. 0141 282 2243
e-mail: kirsty.anderson8@phs.scot","Annual","Not applicable",3000,8001,False,"2024-09-01",1725148800000
"Delayed Discharges in NHS Scotland, October 2024 edition","2024-10-00","","The publication provides a monthly update on the number of hospital bed days associated with delayed discharges for a full calendar month. Information is also provided on the number of people experiencing a delay in discharge from hospital at the monthly census point. The data relate to people aged 18 and over.","Simon Quirk
tel. 01412822013
e-mail: simon.quirk@phs.scot
Zeg Ashraf
tel. 0131 314 1737
e-mail: zeg.ashraf@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Natasha Falconer
tel. 0131 275 6000
e-mail: natasha.falconer3@phs.scot","Monthly","Not applicable",3000,8001,False,"2024-10-01",1727740800000
"Scottish Intensive Care Society Audit Group Report on COVID-19, August 2023","2023-08-08","Publication Cancelled","Please note, this publication was entered in error.This report describes the admission frequency, demographics, activity and outcomes for patients with COVID-19 disease admitted to Scottish intensive care units.","SICSAG mailbox
tel. 0131 275 6555
e-mail: phs.sicsag@phs.scot","Ad-hoc","Not applicable",3001,8001,True,"2023-08-08",1691452800000
"National Naloxone Programme Scotland: Quarterly Bulletin, 2022/23 Q4","2023-09-12","09:30","Quarterly management information on the supply of take home naloxone in Scotland.","Gordon Hunt
tel. 07767008931
e-mail: gordon.hunt@phs.scot","Quarterly","",3001,8001,True,"2023-09-12",1694476800000
"Social care - Demand for Care at Home Services, September 2023","2023-09-26","09:30","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,True,"2023-09-26",1695686400000
"Rapid Action Drug Alerts and Response (RADAR) Quarterly Report, Oct 2023 Release","2023-10-24","09:30","These management information statistics form part of Scotland's Drug Early Waring System and report on recent trends in harm and service utilisation amongst people who use drugs. Data includes information on Specialist drug treatment referrals, Opioid Substitution Therapy ePrescribing, Injecting Equipment Provision, Emergency naloxone administration, Drug overdose/intoxication attendances at Emergency Departments, Drug-related acute hospital admissions, Forensic Toxicology Testing for Controlled Substances and Suspected drug-related deaths.","Caroline Thomson
tel. 0141 300 1326
e-mail: caroline.thomson5@phs.scot
Vicki Craik
tel. 0141 300 1326
e-mail: vicki.craik@phs.scot","Quarterly","",3001,8001,True,"2023-10-24",1698105600000
"Social care - Demand for Care at Home Services, October 2023","2023-10-31","09:30","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Finalised Publication Date",3001,8001,True,"2023-10-31",1698710400000
"Scottish Electroconvulsive Therapy (ECT) Accreditation Network (SEAN), November 2023","2023-11-21","09:30","Summary of SEAN data up to December 2022","SEAN mailbox
tel. 0131 275 6555
e-mail: phs.sean@phs.scot","Annual","Not applicable",3001,8001,True,"2023-11-21",1700524800000
"Social care - Demand for Care at Home Services, November 2023","2023-11-28","09:30","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,True,"2023-11-28",1701129600000
"Surveillance of Hepatitis C in Scotland, 2023 update: Progress on elimination of hepatitis C as a major public health concern, Release 20231128","2023-11-28","09:30","This report updates the hepatitis C epidemiological landscape for Scotland by presenting the latest data on prevention, infection, treatment and disease.","Andrew McAuley
tel. 0141 82 22179
e-mail: andy.mcauley@phs.scot","Annual","Not applicable",3001,8001,True,"2023-11-28",1701129600000
"Social care - Demand for Care at Home Services, December 2023","2023-12-19","09:30","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Finalised Publication Date",3001,8001,True,"2023-12-19",1702944000000
"National Naloxone Programme Scotland: Quarterly Bulletin, 2023/24 Q1","2023-12-00","","Quarterly management information on the supply of take home naloxone in Scotland.","Gordon Hunt
tel. 07767008931
e-mail: gordon.hunt@phs.scot","Quarterly","Not applicable",3001,8001,False,"2023-12-01",1701388800000
"Social care - Demand for Care at Home Services, January 2024","2024-01-30","09:30","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Finalised Publication Date",3001,8001,True,"2024-01-30",1706572800000
"Rapid Action Drug Alerts and Response (RADAR) Quarterly Report, Jan 2024 Release","2024-01-00","","These management information statistics form part of Scotland's Drug Early Waring System and report on recent trends in harm and service utilisation amongst people who use drugs. Data includes information on Specialist drug treatment referrals, Opioid Substitution Therapy ePrescribing, Injecting Equipment Provision, Emergency naloxone administration, Drug overdose/intoxication attendances at Emergency Departments, Drug-related acute hospital admissions, Forensic Toxicology Testing for Controlled Substances and Suspected drug-related deaths.","Caroline Thomson
tel. 0141 300 1326
e-mail: caroline.thomson5@phs.scot
Vicki Craik
tel. 0141 300 1326
e-mail: vicki.craik@phs.scot","Quarterly","Not applicable",3001,8001,False,"2024-01-01",1704067200000
"Social care - Demand for Care at Home Services, February 2024","2024-02-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-02-01",1706745600000
"Social care - Demand for Care at Home Services, March 2024","2024-03-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-03-01",1709251200000
"Social care - Demand for Care at Home Services, April 2024","2024-04-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-04-01",1711929600000
"Social care - Demand for Care at Home Services, May 2024","2024-05-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-05-01",1714521600000
"Social care - Demand for Care at Home Services, June 2024","2024-06-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-06-01",1717200000000
"Social care - Demand for Care at Home Services, July 2024","2024-07-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-07-01",1719792000000
"Social care - Demand for Care at Home Services, August 2024","2024-08-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-08-01",1722470400000
"Social care - Demand for Care at Home Services, September 2024","2024-09-00","","This report is an assessment of the demand for Care at Home services provided by Health and Social Care Partnerships. The information shows the number of people waiting on an assessment for a package of care to allow them to live at home or in the community and also the number of hours of care that has been assessed but not yet delivered. The information is presented by people waiting in hospital or waiting at home/community for the care at home service to be delivered.","Laura Fleming
tel. 01412822160
e-mail: laura.fleming5@phs.scot
Peter McClurg
tel. 01312757735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 01412822093
e-mail: mark.durkan@phs.scot","Monthly","Not applicable",3001,8001,False,"2024-09-01",1725148800000
"Immunisation and vaccine-preventable diseases quarterly updates, (Edition: Immunisation and vaccine-preventable diseases quarterly updates-to week 26 2023)","2023-09-05","09:30","All immunisation web pages are updated to reflect the most recent quarterly surveillance data on meningococcal disease, invasive pneumococcal disease, Haemophilus influenzae, rotavirus, pertussis, herpes zoster, human papillomavirus, measles, mumps, and rubella disease in Scotland. These can be accessed on the PHS website at https://publichealthscotland.scot/publications/","Melissa Llano
tel. 0141 282 2227
e-mail: melissa.llano@phs.scot
Lorraine McGhee
tel. 0141 300 1100
e-mail: lorraine.mcghee@phs.scot","Quarterly","Not applicable",3002,8001,True,"2023-09-05",1693872000000
"Primary Care: In-hours General Practice activity visualisation, Release 20230926","2023-09-26","09:30","This release by Public Health Scotland provides information on encounters that have taken place in general practice in Scotland from January 2018. It contains summary statistics by HSCP and health board on the number of encounters by the derived fields 'encounter group', 'encounter class' and 'Healthcare professional group' . It is experimental data and analysis.","Mike McCabe
tel. 07969296004
e-mail: phs.generalpractice@phs.scot","Monthly","Not applicable",3002,8001,True,"2023-09-26",1695686400000
"Systemic Anti-Cancer Therapies (SACT) Activity, Stefan","2023-10-26","09:30","SACT activity data is published in a dashboard showing weekly appointments for SACT as well as monthly and annual patient numbers for cancer patients receiving SACT treatment in secondary care in NHS Scotland.","Stefan Teufl
tel. 0141 282 2060
e-mail: stefan.teufl@phs.scot","Weekly","Not applicable",3002,8001,True,"2023-10-26",1698278400000
"Primary Care: In-hours General Practice activity visualisation, Release 20231031","2023-10-31","09:30","This release by Public Health Scotland provides information on encounters that have taken place in general practice in Scotland from January 2018. It contains summary statistics by HSCP and health board on the number of encounters by the derived fields 'encounter group', 'encounter class' and 'Healthcare professional group' . It is experimental data and analysis.","Mike McCabe
tel. 07969296004
e-mail: phs.generalpractice@phs.scot","Monthly","Not applicable",3002,8001,True,"2023-10-31",1698710400000
"Insights in Social Care: Statistics for Scotland, Care at Home Statistics for Scotland 2022/23","2023-11-07","09:30","Summary of Care at Home support provided or funded by health and social care partnerships in Scotland 2022/23","Jennifer Armstrong
tel. 0131 275 6032
e-mail: jenny.armstrong@phs.scot
Lauren Dickson
tel. 0141 282 2348
e-mail: lauren.donnell@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 0141 282 2093
e-mail: mark.durkan@phs.scot
Laura Fleming
tel. 0141 282 2160
e-mail: laura.fleming5@phs.scot","Biannual","Finalised Publication Date",3002,8001,True,"2023-11-07",1699315200000
"Insights in Social Care: Statistics for Scotland, Care Home Statistics for Scotland 2022/23","2023-11-21","09:30","Summary of Care Home services funded by health and social care partnerships in Scotland 2022/23","Jennifer Armstrong
tel. 0131 275 6032
e-mail: jenny.armstrong@phs.scot
Lauren Dickson
tel. 0141 282 2348
e-mail: lauren.donnell@phs.scot
Peter McClurg
tel. 0131 275 7735
e-mail: peter.mcclurg@phs.scot
Mark Durkan
tel. 0141 282 2093
e-mail: mark.durkan@phs.scot
Laura Fleming
tel. 0141 282 2160
e-mail: laura.fleming5@phs.scot","Annual","Finalised Publication Date",3002,8001,True,"2023-11-21",1700524800000
"Prescribing Statistics - National Therapeutic Indicators Data Visualisation, 2023 11 November Release","2023-11-28","09:30","Data Visualisation of National Therapeutic Indicators, which contains Health Board and GP Practice information. The indicator data are updated quarterly.","David Scott
tel. 01312756258
e-mail: david.scott7@phs.scot
Rob Gibbs
tel. 01312756336
e-mail: rob.gibbs2@phs.scot
Paul Paxton
tel. 0131 314 1039
e-mail: paul.paxton2@phs.scot","Quarterly","Finalised publication date",3002,8001,True,"2023-11-28",1701129600000
"Primary Care: In-hours General Practice activity visualisation, Release 20231128","2023-11-28","09:30","This release by Public Health Scotland provides information on encounters that have taken place in general practice in Scotland from January 2018. It contains summary statistics by HSCP and health board on the number of encounters by the derived fields 'encounter group', 'encounter class' and 'Healthcare professional group' . It is experimental data and analysis.","Mike McCabe
tel. 07969296004
e-mail: phs.generalpractice@phs.scot","Monthly","Not applicable",3002,8001,True,"2023-11-28",1701129600000
"Mental Health Quality Indicator Profile, November 2023 Release","2023-11-00","","Further report to demonstrate progress toward action 38 of the Mental Health Strategy.","Ellie Bates
tel. 0141 242 2087
e-mail: ellie.bates@phs.scot","Biannual","To ensure higher levels of data completeness and quality",3002,8001,False,"2023-11-01",1698796800000
"Immunisation and vaccine-preventable diseases quarterly updates, (Edition: Immunisation and vaccine-preventable diseases quarterly updates-to week 39 2023)","2023-12-05","09:30","All immunisation web pages are updated to reflect the most recent quarterly surveillance data on meningococcal disease, invasive pneumococcal disease, Haemophilus influenzae, rotavirus, pertussis, herpes zoster, human papillomavirus, measles, mumps, and rubella disease in Scotland. These can be accessed on the PHS website at https://publichealthscotland.scot/publications/","Melissa Llano
tel. 0141 282 2227
e-mail: melissa.llano@phs.scot
Lorraine McGhee
tel. 0141 300 1100
e-mail: lorraine.mcghee@phs.scot","Quarterly","Not applicable",3002,8001,True,"2023-12-05",1701734400000
"Child Health Pre-School Review Coverage, February 2024","2024-02-20","09:30","This publication will report on the coverage of all Pre-School child developmental reviews","Susanne Brunton
tel. 0131 275 7646
e-mail: susanne.brunton@phs.scot
Michael Nisbett
tel. 0141 282 2196
e-mail: michael.nisbett@phs.scot","Annual","Finalised date",3002,8001,True,"2024-02-20",1708387200000
"Prescribing Statistics - National Therapeutic Indicators Data Visualisation, 2024 02 February Release","2024-02-00","","Data Visualisation of National Therapeutic Indicators, which contains Health Board and GP Practice information. The indicator data are updated quarterly.","David Scott
tel. 01312756258
e-mail: david.scott7@phs.scot
Rob Gibbs
tel. 01312756336
e-mail: rob.gibbs2@phs.scot
Paul Paxton
tel. 0131 314 1039
e-mail: paul.paxton2@phs.scot","Quarterly","Delays to the underlying data being available.",3002,8001,False,"2024-02-01",1706745600000
"Immunisation and vaccine-preventable diseases quarterly updates, (Edition: Immunisation and vaccine-preventable diseases quarterly updates-to week 52 2024)","2024-03-05","09:30","All immunisation web pages are updated to reflect the most recent quarterly surveillance data on meningococcal disease, invasive pneumococcal disease, Haemophilus influenzae, rotavirus, pertussis, herpes zoster, human papillomavirus, measles, mumps, and rubella disease in Scotland. These can be accessed on the PHS website at https://publichealthscotland.scot/publications/","Melissa Llano
tel. 0141 282 2227
e-mail: melissa.llano@phs.scot
Lorraine McGhee
tel. 0141 300 1100
e-mail: lorraine.mcghee@phs.scot","Quarterly","Not applicable",3002,8001,True,"2024-03-05",1709596800000
"NHS Pharmacy First Scotland, 2022/23 Release","2024-03-00","","This release provides information on the characteristics of patients accessing the NHS Pharmacy First Scotland service in 2021/22.","Lynne Jarvis
tel. 01312756424
e-mail: lynne.jarvis@phs.scot
Andrew Johnston
tel. 0141 282 2080
e-mail: andrew.johnston2@phs.scot
Graeme Paulley
tel. 01412822930
e-mail: graeme.paulley@phs.scot","Annual","Not applicable",3002,8001,False,"2024-03-01",1709251200000
"Prescribing Statistics - National Therapeutic Indicators Data Visualisation, 2024 04 April Release","2024-04-00","","Data Visualisation of National Therapeutic Indicators, which contains Health Board and GP Practice information. The indicator data are updated quarterly.","David Scott
tel. 01312756258
e-mail: david.scott7@phs.scot
Rob Gibbs
tel. 01312756336
e-mail: rob.gibbs2@phs.scot
Paul Paxton
tel. 0131 314 1039
e-mail: paul.paxton2@phs.scot","Quarterly","Not applicable",3002,8001,False,"2024-04-01",1711929600000
"Prescribing Statistics - National Therapeutic Indicators Data Visualisation, 2024 07 July Release","2024-07-00","","Data Visualisation of National Therapeutic Indicators, which contains Health Board and GP Practice information. The indicator data are updated quarterly.","David Scott
tel. 01312756258
e-mail: david.scott7@phs.scot
Rob Gibbs
tel. 01312756336
e-mail: rob.gibbs2@phs.scot
Paul Paxton
tel. 0131 314 1039
e-mail: paul.paxton2@phs.scot","Quarterly","Not applicable",3002,8001,False,"2024-07-01",1719792000000
